symbol,ema_fast,ema_slow,timeframe,num_trades,total_pnl,final_equity,win_rate,avg_return,max_drawdown
BTCUSDT,5,13,5m,12,-0.006369022949002101,9999.993630977051,0.25,-0.0005307519122997193,7.44547324393352e-07
BTCUSDT,5,13,15m,12,-0.012767353484377963,9999.987232646516,0.0,-0.0010639461235706256,1.2767353484377963e-06
BTCUSDT,5,13,1h,9,-0.009909108868669136,9999.990090891131,0.0,-0.001101012096292747,9.909108865031158e-07
BTCUSDT,5,13,4h,7,-0.007032083341982798,9999.992967916658,0.0,-0.0010045833345389654,7.032083341982798e-07
BTCUSDT,9,21,5m,8,-0.008524890292392229,9999.991475109708,0.0,-0.0010656112865255819,8.52489028875425e-07
BTCUSDT,9,21,15m,3,-0.0031990523075364763,9999.996800947692,0.0,-0.0010663507686671672,3.199052305717487e-07
BTCUSDT,9,21,1h,6,-0.00661496935026662,9999.99338503065,0.0,-0.0011024948915178343,6.61496935026662e-07
BTCUSDT,9,21,4h,6,-0.005682923450876842,9999.99431707655,0.0,-0.0009471539090050778,5.682923452695832e-07
BTCUSDT,12,26,5m,7,-0.005337677357601933,9999.994662322642,0.14285714285714285,-0.000762525336704807,5.337677357601934e-07
BTCUSDT,12,26,15m,4,-0.004250172049069079,9999.995749827951,0.0,-0.0010625430118815548,4.2501720490690785e-07
BTCUSDT,12,26,1h,4,-0.004464059573365375,9999.995535940427,0.0,-0.0011160148929473157,4.464059571546386e-07
BTCUSDT,12,26,4h,3,-0.0029254913915792713,9999.997074508608,0.0,-0.0009751637974215931,2.9254913915792713e-07
BTCUSDT,20,50,5m,3,-0.0010712519051594427,9999.998928748095,0.3333333333333333,-0.000357083968438174,1.0712519033404533e-07
BTCUSDT,20,50,15m,1,-0.0010523555920372019,9999.998947644408,0.0,-0.0010523555927544558,1.0523555920372019e-07
BTCUSDT,20,50,1h,0,0.0,10000.0,,,0.0
BTCUSDT,20,50,4h,0,0.0,10000.0,,,0.0
